As,Cu,Fe,Li,Mn,Mo,Pb,U,SampleTreated
1.274879744,48.80973897,119.210506,15.38109819,2.313744746,0.486535972,0.663296991,5.892623097,No
5.414554077,BDL,371.9187728,1.911462271,53.13487243,58.79764425,BDL,1.90815419,No
7.469285351,2.735781109,35.69669011,27.75036244,0.137307772,3.16065071,0.053576948,2.968180411,No
1.24127539,1.925132093,1121.017959,16.84623819,87.69569771,36.06409862,0.081477216,0.959482541,No
1.089796837,13.17791885,400.2396342,22.48884406,3.829911862,0.142937929,0.677479502,0.901424911,No
5.805309831,4.399151445,73.97043528,4.284821554,1.085100131,18.7397071,0.023833744,18.98374969,No
2.805818286,0.971949804,79.26217462,19.65811586,0.198120853,3.14323909,0.030339357,2.751306479,No
2.408958617,38.95080306,117.7648921,14.3005346,2.568704396,7.284426639,0.98268594,3.597830089,No
6.043068752,12.33676554,123.5714548,8.690445323,28.965472,7.663921169,BDL,3.172777285,No
0.370822808,208.7883564,87.38359317,0.758439757,0.124732143,0.253276251,0.044776112,15.26747888,Yes
11.07947478,2.610713685,441.8300958,6.308397846,42.61352672,5.149840139,0.119265066,56.75066973,Yes
0.475138458,8.442449435,103.6167849,0.981438519,0.086607077,2.041959731,0.054216782,0.535625931,Yes
5.565032573,42.67814409,573.6857064,0.412629868,113.1870198,4.531826996,0.514132788,0.02992272,Yes
4.852359649,25.18460178,10.6966954,13.73721049,7.136087194,81.70837069,0.249581553,168.0393365,Yes
1.379035422,5.006299862,122.2365479,3.409687455,0.405182535,0.548341959,0.081827139,0.53573147,Yes
1.225529216,163.8035657,72.76096374,0.624167316,1.35535698,1.558788023,1.223416951,1.475454049,Yes
0.262962444,3.994529139,1129.068617,7.692627891,250.5737948,11.63887023,0.111763917,0.042431175,Yes
5.962407751,3.850054912,91.87136892,7.236060992,1.263627274,2.807531276,0.065992329,1.21840334,Yes
54.46251406,28.67475424,271.1435053,1854.709066,4.536567193,0.421293261,5.22995348,1.712037707,Yes
1.409582962,22.4726572,82.20420657,16.32904618,10.90960148,2.730144001,0.047431911,9.621381756,Yes
3.492156689,4.940346461,17.90712209,8.021088975,0.099541746,1.759309101,0.046939195,19.63945929,Yes
6.750607652,2.022948982,263.3540593,1.99992924,83.26161342,6.234855601,0.042653274,0.031954472,Yes
6.331991485,391.3289547,92.3459203,14.19461415,10.39989445,5.586379018,4.002139066,0.01677344,Yes
0.667827698,267.0661813,101.823857,4.508809353,1.478537437,0.753901647,6.65641803,1.71963685,Yes
0.252901409,420.5114151,36.63314715,7.880514422,1.722138235,3.316434767,0.507740797,1.286076127,Yes
2.400583941,8.311432451,169.4476235,10.07440831,1.37144237,3.472867445,0.275319139,2.760784554,Yes
0.148263599,13.24986766,87.00892041,1.931743228,0.879149962,8.059383469,0.796018472,0.029387138,Yes
3.884229993,6.539668494,168.9466389,18.36277165,0.224135955,0.65599492,0.126224424,9.303599592,Yes
0.157946143,3.17613308,4.285820742,0.487356137,0.607734895,0.036631583,0.031394899,0.033424696,Yes
4.728347254,19.35879347,191.2144157,1.283968195,0.922378223,0.657722551,0.974032303,1.869366448,Yes
0.947028974,6.475792416,57.10159504,42.51662766,1.961363,0.786767809,0.105442066,0.03642733,Yes
2.318445926,50.42965236,BDL,0.381175037,BDL,1.211452098,0.264252615,0.92732184,Yes
3.648775047,10.25245969,84.14085427,30.82398165,BDL,2.450075763,0.536372552,2.205519631,Yes
1.05713773,107.2537428,200.7518906,33.72451046,4.043741742,7.580369265,0.929276444,29.54714016,Yes
2.494799165,114.3728818,314.2727412,8.853442939,1.212871777,1.469642098,5.543343941,54.24924754,Yes
1.332120955,414.4654555,1790.309448,51.94407868,1.78081109,15.78182228,24.65570131,0.105192369,Yes
17.52579838,40.54757924,71.26659565,0.891861127,0.453778833,2.692935461,1.750281132,0.005372056,Yes
4.593951248,13.01467425,1854.508617,3.805778852,17.95787647,2.670344558,2.061161904,0.007622036,Yes
0.242164684,219.1275859,9.824970411,1.758027799,0.435279892,0.167340469,0.37218728,1.316762012,Yes
11.8930218,40.83306568,104.5971808,51.96746954,16.60893346,3.763222139,0.252399844,39.55093065,Yes
0.719222734,36.42887011,262.2129336,5.001185803,0.740516861,0.605296327,0.894471918,3.441828078,Yes
13.76123733,12.84964152,327.562063,42.27348198,9.834501706,3.728901748,0.52031201,33.16045754,Yes
1.278474126,50.50889279,49.13973453,2.173927105,0.321939283,2.01821781,0.689569164,35.49988496,Yes
2.796006885,5.592282432,91.61507238,12.15866001,0.721182106,3.812472988,0.193485972,3.774436654,Yes
12.20311862,9.541622413,111.6900174,242.9500491,0.266066255,4.070320172,0.194642497,3.107436273,Yes
1.506823885,25.2755978,66.77460587,24.66669992,2.541308653,1.401166862,0.246830408,4.95976177,Yes
0.882774412,1.012827556,75.3359781,2.042574368,6.010043379,0.647742891,BDL,0.005392655,Yes
5.400976442,7.773628789,93.01473501,4.90557321,BDL,8.059167714,0.220130941,4.986370056,Yes
11.67702087,65.75601617,48.77548484,2.32597856,0.907101026,2.272049834,0.112777479,0.207209128,Yes
3.574936106,49.40615064,254.6589691,0.153749478,0.679305403,3.843987985,0.199046451,0.004220809,Yes
0.706644589,12.32950587,250.2206925,6.651595509,2.895014604,0.18261721,0.633279492,47.2739162,Yes
10.52765623,317.0737033,468.479898,29.39303864,5.489817553,2.811134184,9.615282753,2.918371276,Yes
1.1775153,12.31569626,29.80520785,46.51928241,78.53453025,8.505279279,0.126537368,1.096057978,Yes
4.776448124,9.449787509,25.92478606,0.164924676,0.788587806,9.418600895,0.040023934,0.009337224,Yes
2.936386087,1.579491578,48.69643574,2.587525301,2.810858913,22.99598218,0.025862558,4.290472423,Yes
6.130263947,19.24517469,53.68243852,22.96100673,0.479435786,0.713941421,0.15984455,2.446471934,Yes
2.105800609,26.07534442,146.7210067,0.863927497,0.94756281,1.293814226,0.622931979,13.42696185,Yes
0.15131728,49.56522521,402.5979461,7.610720116,887.8290075,3.981872953,0.27115193,0.026203481,Yes
0.089350279,4.50365034,54.2919126,5.938485828,64.81242031,5.630668902,0.10848878,0.3921715,Yes
175.2439036,2.789109464,5.507804995,12.84134781,0.156341155,9.642455145,0.012141886,11.56957668,Yes
22.22341136,BDL,3.049704061,0.335167504,0.070249892,0.047865385,0.028665785,0.001512349,Yes
0.215919223,BDL,3.225859732,0.19783777,3.232328813,0.019335002,0.008995113,0.022588756,Yes
3.89406767,31.13914471,654.738059,0.67663166,0.400466757,4.283268305,1.565960225,6.444116114,Yes
0.090780298,1.915501297,BDL,0.240396235,0.161834484,0.024558635,0.020295152,0.00855697,Yes
51.47258437,4.78911256,13.19299098,35.07313763,0.51964006,40.9916413,0.951439149,0.327392787,Yes
0.019656102,BDL,3.144884433,0.033220612,0.369771871,0.019604934,BDL,0.013794335,Yes
0.113273939,3.081391504,4.443140972,0.711829178,5.39666844,0.005619597,0.006046839,0.003645868,Yes
0.110579213,0.786813222,3.031561132,0.106401496,0.261194862,0.076381955,0.409822599,0.022505014,Yes
9.045132296,2.872589903,337.0175259,32.19046273,0.381254949,22.32554061,0.025247201,0.224870854,Yes
1.950254611,4.376121048,4583.174149,2.629735931,8577.368828,7.755790974,0.059378294,0.028185301,Yes
0.194010057,13.00714993,39.84087908,27.48583965,134.2280421,2.483052139,0.085272542,22.81093547,Yes
1.831241748,24.94738843,30.51758516,1.106805234,0.411577541,0.048064346,0.049265707,0.025426531,Yes
0.287057325,BDL,6.188949878,0.472150807,0.109303119,0.340845894,BDL,0.038996731,Yes
0.297328052,BDL,16.89721706,0.021315026,0.064221785,0.01582662,0.038651212,BDL,Yes
36.42666913,9.18620322,25.73994017,35.60161388,0.113399661,3.886443107,0.050128774,5.351850492,Yes
0.230969611,3.995086619,3.810068831,0.034801881,0.232277117,0.04838462,0.074559079,0.012939509,Yes
37.597672,20.98155215,20.01473041,93.66532076,9.378615274,8.305259739,0.066290095,1.315484918,Yes
54.41958747,24.39450858,64.70640859,170.6157693,1118.848944,92.4993293,0.067779611,124.7388468,Yes
115.4813249,4.538107018,211.9095108,104.9838062,4.189480705,7.918643615,0.17505753,1.620672856,Yes
59.48371033,BDL,4.052483848,0.440242163,0.051052526,0.070274086,BDL,BDL,Yes
0.04314222,0.694476772,3.956368999,0.515924393,3.440090494,0.015539945,BDL,BDL,Yes
1.195253083,9.010657402,14.17269485,1.74589223,0.37068517,210.6590144,BDL,10.69467897,Yes
0.049833963,BDL,5.767396634,0.031969895,BDL,0.158424914,BDL,0.009729641,Yes
24.73576127,2.178560465,6.960338817,6.941537034,10.00351574,8.51809761,BDL,6.449717665,Yes
0.139652604,0.813223943,4.049234879,4.794464401,0.706925788,0.035780546,3.399517256,0.037223238,Yes
0.418716614,0.537234877,4.81153049,1.377535178,1.775308042,0.073894605,BDL,0.008484506,Yes
0.945561847,77.77000801,BDL,3.858519686,0.77787798,0.061516526,5.64024781,0.013649206,Yes
0.817567856,1.054863129,BDL,3.661063002,0.178618513,0.264353945,0.094882922,0.026575304,Yes
3.95126029,17.8890705,9.79689447,20.43251611,0.166133453,2.84736496,0.053759451,0.259573718,Yes
34.32169488,0.991268648,6.920318038,0.337503208,2.214763837,6.571455319,0.064196668,0.024366134,Yes
32.66929102,7.534407893,18.15111201,2.669905792,5.248051218,5.907317318,0.143247722,0.133338007,Yes
15.67588607,2.292314608,12.89189067,0.822892065,3.089227877,9.04907599,BDL,3.355685275,Yes
18.22878575,39.68833065,BDL,3.119652998,BDL,2.782677161,0.096293198,2.934796822,Yes
0.172366896,1.363089235,49.9449133,19.64060651,0.495294268,4.856471415,BDL,0.026092069,Yes
6.355067222,192.3056411,93.99063088,4.505686306,0.213508862,0.987450565,BDL,0.482706452,Yes
